x,y,Predict,Actual,loss^2
-10,5.6,-0.0368632,0.00613254,0.00184863
-10,5.8,-0.00927806,0.00435782,0.000185937
-10,6,0.0188073,0.00253347,0.000264837
-10,6.2,0.0446446,0.000729072,0.00192857
-10,6.4,0.0656099,-0.000990708,0.00443565
-10,6.6,0.0796156,-0.00256795,0.00675414
-10,6.8,0.0854208,-0.00395306,0.0079877
-10,7,0.0827811,-0.00510592,0.00772412
-10,7.2,0.0724235,-0.00599683,0.00614974
-10,7.4,0.055905,-0.00660698,0.00390774
-10,7.6,0.0353909,-0.00692854,0.00179093
-10,7.8,0.0133989,-0.00696447,0.000414666
-10,8,-0.00747418,-0.0067279,5.56944e-07
-10,8.2,-0.0248425,-0.00624119,0.000346009
-10,8.4,-0.0368261,-0.00553476,0.00097915
-10,8.6,-0.0423349,-0.00464567,0.00142048
-10,8.8,-0.0412903,-0.00361599,0.00141935
-10,9,-0.0346761,-0.00249112,0.00103587
-10,9.2,-0.0243306,-0.00131801,0.00052958
-10,9.4,-0.0124829,-0.000143389,0.000152263
-10,9.6,-0.00120676,0.000987892,4.81648e-06
-10,9.8,0.00799477,0.00203441,3.55259e-05
-9.8,-10,0.0947576,0.00203441,0.00859758
-9.8,-9.8,0.0861474,0.00139845,0.00718239
-9.8,-9.6,0.0771785,0.000679074,0.00585216
-9.8,-9.4,0.06805,-9.85651e-05,0.00464423
-9.8,-9.2,0.0589865,-0.000905996,0.00358712
-9.8,-9,0.0502203,-0.00171239,0.002697
-9.8,-8.8,0.0419776,-0.00248562,0.00197698
-9.8,-8.6,0.0344607,-0.00319342,0.00141783
-9.8,-8.4,0.0278323,-0.00380458,0.00100089
-9.8,-8.2,0.0222074,-0.00429017,0.00070212
-9.8,-8,0.0176457,-0.00462474,0.000495973
-9.8,-7.8,0.0141541,-0.00478736,0.000358778
-9.8,-7.6,0.0116884,-0.00476265,0.000270636
-9.8,-7.4,0.0101688,-0.00454162,0.000216396
-9.8,-7.2,0.00948453,-0.00412221,0.000185143
-9.8,-7,0.00951052,-0.0035098,0.000169529
-9.8,-6.8,0.0101128,-0.00271732,0.000164611
-9.8,-6.6,0.0111603,-0.0017652,0.000167067
-9.8,-6.4,0.0125318,-0.000681009,0.000174577
-9.8,-6.2,0.0141158,0.000501162,0.000185359
-9.8,-6,0.0158166,0.0017415,0.000198108
-9.8,-5.8,0.0175537,0.00299555,0.000211939
-9.8,-5.6,0.0192617,0.00421549,0.000226389
-9.8,-5.4,0.0208917,0.00535151,0.000241496
-9.8,-5.2,0.022409,0.00635337,0.000257782
-9.8,-5,0.023798,0.00717196,0.000276425
-9.8,-4.8,0.025064,0.00776092,0.000299396
