x,y,test(x)
0.7,0.364549,0.400745
0.71,0.367634,0.403587
0.72,0.37074,0.406453
0.73,0.373862,0.40934
0.74,0.376996,0.412243
0.75,0.380138,0.415162
0.76,0.383281,0.418092
0.77,0.386423,0.421032
0.78,0.38956,0.423979
0.79,0.392688,0.426929
0.8,0.395803,0.42988
0.81,0.398902,0.43283
0.82,0.401982,0.435776
0.83,0.405039,0.438715
0.84,0.408071,0.441644
0.85,0.411075,0.444561
0.86,0.414048,0.447464
0.87,0.416989,0.45035
0.88,0.419895,0.453216
0.89,0.422764,0.45606
0.9,0.425595,0.45888
0.91,0.428385,0.461673
0.92,0.431132,0.464436
0.93,0.433837,0.467169
0.94,0.436497,0.469867
0.95,0.439112,0.472529
0.96,0.44168,0.475153
0.97,0.4442,0.477737
0.98,0.446672,0.480278
0.99,0.449096,0.482774
1,0.45147,0.485225
1.01,0.453794,0.487626
1.02,0.456069,0.489977
1.03,0.458292,0.492276
1.04,0.460466,0.494521
1.05,0.462589,0.496709
1.06,0.464662,0.498841
1.07,0.466685,0.500913
1.08,0.468657,0.502924
1.09,0.47058,0.504872
1.1,0.472453,0.506757
1.11,0.474278,0.508576
1.12,0.476053,0.510329
1.13,0.477779,0.512014
1.14,0.479458,0.513629
1.15,0.48109,0.515173
1.16,0.482676,0.516646
1.17,0.484215,0.518046
1.18,0.485708,0.519372
1.19,0.487157,0.520623
1.2,0.488561,0.521798
1.21,0.489923,0.522897
1.22,0.491241,0.523918
1.23,0.492518,0.524861
1.24,0.493753,0.525724
1.25,0.494948,0.526508
1.26,0.496104,0.527212
1.27,0.49722,0.527835
1.28,0.498299,0.528377
1.29,0.49934,0.528837
1.3,0.500345,0.529215
1.31,0.501314,0.52951
1.32,0.502248,0.529723
1.33,0.503148,0.529853
1.34,0.504015,0.5299
1.35,0.504849,0.529864
1.36,0.505652,0.529745
1.37,0.506423,0.529543
1.38,0.507165,0.529257
1.39,0.507877,0.528889
1.4,0.508561,0.528438
1.41,0.509216,0.527904
1.42,0.509844,0.527288
1.43,0.510446,0.52659
1.44,0.511022,0.525811
1.45,0.511573,0.52495
1.46,0.5121,0.524008
1.47,0.512603,0.522986
1.48,0.513083,0.521884
1.49,0.51354,0.520703
1.5,0.513976,0.519444
1.51,0.514391,0.518106
1.52,0.514786,0.516692
1.53,0.51516,0.515201
1.54,0.515516,0.513634
1.55,0.515853,0.511992
1.56,0.516171,0.510276
1.57,0.516472,0.508488
1.58,0.516756,0.506626
1.59,0.517024,0.504694
1.6,0.517276,0.502691
1.61,0.517512,0.50062
1.62,0.517733,0.498479
1.63,0.51794,0.496272
1.64,0.518133,0.493999
1.65,0.518313,0.49166
1.66,0.518479,0.489258
1.67,0.518633,0.486794
1.68,0.518774,0.484268
1.69,0.518904,0.481681
1.7,0.519023,0.479036
1.71,0.51913,0.476333
1.72,0.519227,0.473574
1.73,0.519314,0.470759
1.74,0.51939,0.467891
1.75,0.519457,0.46497
1.76,0.519515,0.461998
1.77,0.519564,0.458976
1.78,0.519605,0.455906
1.79,0.519638,0.452789
1.8,0.519662,0.449626
1.81,0.51968,0.446419
1.82,0.519689,0.443168
1.83,0.519692,0.439877
1.84,0.519688,0.436545
1.85,0.519677,0.433174
1.86,0.51966,0.429767
1.87,0.519638,0.426323
1.88,0.519609,0.422845
1.89,0.519575,0.419334
1.9,0.519535,0.415791
1.91,0.519491,0.412219
1.92,0.519442,0.408617
1.93,0.519388,0.404988
1.94,0.519329,0.401334
1.95,0.519267,0.397654
1.96,0.5192,0.393952
1.97,0.51913,0.390228
1.98,0.519055,0.386483
1.99,0.518978,0.38272
